country_name,country_code,year,subject,mean_score
Australia,AUS,2018,Reading,502.63
Australia,AUS,2000,Science,527.5
Australia,AUS,2003,Science,525.05
Australia,AUS,2006,Science,526.88
Australia,AUS,2009,Science,527.27
Australia,AUS,2012,Science,521.49
Australia,AUS,2015,Science,509.99
Australia,AUS,2018,Science,502.96
Austria,AUT,2000,Mathematics,502.5
Austria,AUT,2003,Mathematics,505.61
Austria,AUT,2006,Mathematics,505.48
Austria,AUT,2009,Mathematics,495.91
Austria,AUT,2012,Mathematics,505.54
Austria,AUT,2015,Mathematics,496.74
Austria,AUT,2018,Mathematics,498.94
Austria,AUT,2000,Reading,507.0
Austria,AUT,2003,Reading,490.69
Austria,AUT,2006,Reading,490.19
Austria,AUT,2009,Reading,470.28
Austria,AUT,2012,Reading,489.61
Austria,AUT,2015,Reading,484.87
Austria,AUT,2018,Reading,484.39
Austria,AUT,2000,Science,504.7
Austria,AUT,2003,Science,490.98
Austria,AUT,2006,Science,510.84
Austria,AUT,2009,Science,494.33
Austria,AUT,2012,Science,505.78
Austria,AUT,2015,Science,495.04
Austria,AUT,2018,Science,489.78
Azerbaijan,AZE,2006,Mathematics,476.0
Azerbaijan,AZE,2009,Mathematics,430.98
Azerbaijan,AZE,2006,Reading,352.89
Azerbaijan,AZE,2009,Reading,361.52
Azerbaijan,AZE,2006,Science,382.33
Azerbaijan,AZE,2009,Science,373.18
Belarus,BLR,2018,Mathematics,471.87
Belarus,BLR,2018,Reading,473.79
Belarus,BLR,2018,Science,471.26
Belgium,BEL,2000,Mathematics,520.0
Belgium,BEL,2003,Mathematics,529.29
Belgium,BEL,2006,Mathematics,520.35
Belgium,BEL,2009,Mathematics,515.27
Belgium,BEL,2012,Mathematics,514.53
Belgium,BEL,2015,Mathematics,506.98
Belgium,BEL,2018,Mathematics,508.07
Belgium,BEL,2000,Reading,507.13
Belgium,BEL,2003,Reading,506.99
Belgium,BEL,2006,Reading,500.9
Belgium,BEL,2009,Reading,505.95
Belgium,BEL,2012,Reading,508.62
Belgium,BEL,2015,Reading,498.52
Belgium,BEL,2018,Reading,492.86
Belgium,BEL,2000,Science,495.74
Belgium,BEL,2003,Science,508.83
Belgium,BEL,2006,Science,510.36
Belgium,BEL,2009,Science,506.58
Belgium,BEL,2012,Science,504.87
Belgium,BEL,2015,Science,502.0
Belgium,BEL,2018,Science,498.77
Bosnia and Herzegovina,BIH,2018,Mathematics,406.38
Bosnia and Herzegovina,BIH,2018,Reading,402.98
Bosnia and Herzegovina,BIH,2018,Science,398.5
Brazil,BRA,2000,Mathematics,334.0
Brazil,BRA,2003,Mathematics,356.02
Brazil,BRA,2006,Mathematics,369.52
Brazil,BRA,2009,Mathematics,385.81
Brazil,BRA,2012,Mathematics,391.46
Brazil,BRA,2015,Mathematics,377.07
Brazil,BRA,2018,Mathematics,383.57
Brazil,BRA,2000,Reading,396.03
Brazil,BRA,2003,Reading,402.8
Brazil,BRA,2006,Reading,392.89
Brazil,BRA,2009,Reading,411.75
Brazil,BRA,2012,Reading,410.12
Brazil,BRA,2015,Reading,407.35
Brazil,BRA,2018,Reading,412.87
Brazil,BRA,2000,Science,375.17
Brazil,BRA,2003,Science,389.62
Brazil,BRA,2006,Science,390.33
Brazil,BRA,2009,Science,405.4
Brazil,BRA,2012,Science,404.71
Brazil,BRA,2015,Science,400.68
Brazil,BRA,2018,Science,403.62
Brunei Darussalam,BRN,2018,Mathematics,430.11
Brunei Darussalam,BRN,2018,Reading,408.07
Brunei Darussalam,BRN,2018,Science,430.98
Bulgaria,BGR,2000,Mathematics,430.0
Bulgaria,BGR,2006,Mathematics,413.45
Bulgaria,BGR,2009,Mathematics,428.07
Bulgaria,BGR,2012,Mathematics,438.74
Bulgaria,BGR,2015,Mathematics,441.19
Bulgaria,BGR,2018,Mathematics,436.04
Bulgaria,BGR,2000,Reading,430.4
Bulgaria,BGR,2006,Reading,401.93
Bulgaria,BGR,2009,Reading,429.08
Bulgaria,BGR,2012,Reading,436.13
Bulgaria,BGR,2015,Reading,431.72
Bulgaria,BGR,2018,Reading,419.84
Bulgaria,BGR,2000,Science,448.28
Bulgaria,BGR,2006,Science,434.08
Bulgaria,BGR,2009,Science,439.29
Bulgaria,BGR,2012,Science,446.47
Bulgaria,BGR,2015,Science,445.77
Bulgaria,BGR,2018,Science,424.07
Canada,CAN,2000,Mathematics,533.0
Canada,CAN,2003,Mathematics,532.49
Canada,CAN,2006,Mathematics,527.01
Canada,CAN,2009,Mathematics,526.81
Canada,CAN,2012,Mathematics,518.07
Canada,CAN,2015,Mathematics,515.65
Canada,CAN,2018,Mathematics,512.02
Canada,CAN,2000,Reading,534.31
Canada,CAN,2003,Reading,527.91
Canada,CAN,2006,Reading,527.01
Canada,CAN,2009,Reading,524.24
Canada,CAN,2012,Reading,523.12
Canada,CAN,2015,Reading,526.67
Canada,CAN,2018,Reading,520.09
Canada,CAN,2000,Science,529.36
Canada,CAN,2003,Science,518.75
Canada,CAN,2006,Science,534.47
Canada,CAN,2009,Science,528.7
Canada,CAN,2012,Science,525.46
Canada,CAN,2015,Science,527.7
Canada,CAN,2018,Science,518.0
Chile,CHL,2000,Mathematics,384.0
Chile,CHL,2006,Mathematics,411.35
Chile,CHL,2009,Mathematics,421.06
Chile,CHL,2012,Mathematics,422.63
Chile,CHL,2015,Mathematics,422.67
Chile,CHL,2018,Mathematics,417.41
Chile,CHL,2000,Reading,409.56
Chile,CHL,2006,Reading,442.09
Chile,CHL,2009,Reading,449.37
Chile,CHL,2012,Reading,441.4
Chile,CHL,2015,Reading,458.57
Chile,CHL,2018,Reading,452.27
Chile,CHL,2000,Science,414.85
Chile,CHL,2006,Science,438.18
Chile,CHL,2009,Science,447.47
Chile,CHL,2012,Science,444.93
Chile,CHL,2015,Science,446.96
Chile,CHL,2018,Science,443.58
China,CHN,2009,Mathematics,600.08
China,CHN,2012,Mathematics,612.68
China,CHN,2015,Mathematics,531.3
China,CHN,2018,Mathematics,591.39
China,CHN,2009,Reading,555.83
China,CHN,2012,Reading,569.59
China,CHN,2015,Reading,493.94
China,CHN,2018,Reading,555.24
China,CHN,2009,Science,574.62
China,CHN,2012,Science,580.12
China,CHN,2015,Science,517.78
China,CHN,2018,Science,590.45
Colombia,COL,2006,Mathematics,369.98
Colombia,COL,2009,Mathematics,380.85
Colombia,COL,2012,Mathematics,376.49
Colombia,COL,2015,Mathematics,389.64
Colombia,COL,2018,Mathematics,390.93
Colombia,COL,2006,Reading,385.31
Colombia,COL,2009,Reading,413.18
Colombia,COL,2012,Reading,403.4
Colombia,COL,2015,Reading,424.91
Colombia,COL,2018,Reading,412.3
Colombia,COL,2006,Science,388.04
Colombia,COL,2009,Science,401.75
Colombia,COL,2012,Science,398.68
Colombia,COL,2015,Science,415.73
Colombia,COL,2018,Science,413.32
Costa Rica,CRI,2009,Mathematics,409.39
Costa Rica,CRI,2012,Mathematics,407.0
Costa Rica,CRI,2015,Mathematics,400.25
Costa Rica,CRI,2018,Mathematics,402.33
Costa Rica,CRI,2009,Reading,442.58
Costa Rica,CRI,2012,Reading,440.55
Costa Rica,CRI,2015,Reading,427.49
Costa Rica,CRI,2018,Reading,426.5
Costa Rica,CRI,2009,Science,430.48
Costa Rica,CRI,2012,Science,429.35
Costa Rica,CRI,2015,Science,419.61
Costa Rica,CRI,2018,Science,415.62
Croatia,HRV,2006,Mathematics,467.25
Croatia,HRV,2009,Mathematics,459.94
Croatia,HRV,2012,Mathematics,471.13
Croatia,HRV,2015,Mathematics,464.04
Croatia,HRV,2018,Mathematics,464.2
Croatia,HRV,2006,Reading,477.36
Croatia,HRV,2009,Reading,475.75
Croatia,HRV,2012,Reading,484.57
Croatia,HRV,2015,Reading,486.86
Croatia,HRV,2018,Reading,478.99
Croatia,HRV,2006,Science,493.2
Croatia,HRV,2009,Science,486.36
Croatia,HRV,2012,Science,491.36
Croatia,HRV,2015,Science,475.39
Croatia,HRV,2018,Science,472.36
Cyprus,CYP,2015,Mathematics,437.14
Cyprus,CYP,2018,Mathematics,450.68
Cyprus,CYP,2012,Reading,448.95
Cyprus,CYP,2015,Reading,442.84
Cyprus,CYP,2018,Reading,424.36
Cyprus,CYP,2012,Science,437.68
Cyprus,CYP,2015,Science,432.6
Cyprus,CYP,2018,Science,439.01
Czechia,CZE,2000,Mathematics,498.0
Czechia,CZE,2003,Mathematics,516.46
Czechia,CZE,2006,Mathematics,509.86
Czechia,CZE,2009,Mathematics,492.81
Czechia,CZE,2012,Mathematics,498.96
Czechia,CZE,2015,Mathematics,492.33
Czechia,CZE,2018,Mathematics,499.47
Czechia,CZE,2000,Reading,491.58
Czechia,CZE,2003,Reading,488.54
Czechia,CZE,2006,Reading,482.72
Czechia,CZE,2009,Reading,478.19
Czechia,CZE,2012,Reading,492.89
Czechia,CZE,2015,Reading,487.25
Czechia,CZE,2018,Reading,490.22
Czechia,CZE,2000,Science,511.41
Czechia,CZE,2003,Science,523.25
Czechia,CZE,2006,Science,512.86
Czechia,CZE,2009,Science,500.5
Czechia,CZE,2012,Science,508.3
Czechia,CZE,2015,Science,492.83
Czechia,CZE,2018,Science,496.79
Denmark,DNK,2000,Mathematics,514.0
Denmark,DNK,2003,Mathematics,514.29
Denmark,DNK,2006,Mathematics,513.03
Denmark,DNK,2009,Mathematics,503.28
Denmark,DNK,2012,Mathematics,500.03
Denmark,DNK,2015,Mathematics,511.09
Denmark,DNK,2018,Mathematics,509.4
Denmark,DNK,2000,Reading,496.87
Denmark,DNK,2003,Reading,492.32
Denmark,DNK,2006,Reading,494.48
Denmark,DNK,2009,Reading,494.92
Denmark,DNK,2012,Reading,496.13
Denmark,DNK,2015,Reading,499.81
Denmark,DNK,2018,Reading,501.13
Denmark,DNK,2000,Science,481.01
Denmark,DNK,2003,Science,475.22
Denmark,DNK,2006,Science,495.89
Denmark,DNK,2009,Science,499.34
Denmark,DNK,2012,Science,498.47
Denmark,DNK,2015,Science,501.94
Denmark,DNK,2018,Science,492.64
Dominican Republic,DOM,2015,Mathematics,327.7
Dominican Republic,DOM,2018,Mathematics,325.1
Dominican Republic,DOM,2015,Reading,357.74
Dominican Republic,DOM,2018,Reading,341.63
Dominican Republic,DOM,2015,Science,331.64
Dominican Republic,DOM,2018,Science,335.63
Estonia,EST,2006,Mathematics,514.58
Estonia,EST,2009,Mathematics,512.1
Estonia,EST,2012,Mathematics,520.55
Estonia,EST,2015,Mathematics,519.53
Estonia,EST,2018,Mathematics,523.41
Estonia,EST,2006,Reading,500.75
Estonia,EST,2009,Reading,500.96
Estonia,EST,2012,Reading,516.29
Estonia,EST,2015,Reading,519.14
Estonia,EST,2018,Reading,523.02
Estonia,EST,2006,Science,531.39
Estonia,EST,2009,Science,527.83
Estonia,EST,2012,Science,541.4
Estonia,EST,2015,Science,534.19
Estonia,EST,2018,Science,530.11
Finland,FIN,2000,Mathematics,536.0
Finland,FIN,2003,Mathematics,544.29
Finland,FIN,2006,Mathematics,548.36
Finland,FIN,2009,Mathematics,540.5
Finland,FIN,2012,Mathematics,518.75
Finland,FIN,2015,Mathematics,511.08
Finland,FIN,2018,Mathematics,507.3
Finland,FIN,2000,Reading,546.47
Finland,FIN,2003,Reading,543.46
Finland,FIN,2006,Reading,546.87
Finland,FIN,2009,Reading,535.88
Finland,FIN,2012,Reading,524.02
Finland,FIN,2015,Reading,526.42
Finland,FIN,2018,Reading,520.08
Finland,FIN,2000,Science,537.74
Finland,FIN,2003,Science,548.23
Finland,FIN,2006,Science,563.32
Finland,FIN,2009,Science,554.08
Finland,FIN,2012,Science,545.44
Finland,FIN,2015,Science,530.66
Finland,FIN,2018,Science,521.88
France,FRA,2000,Mathematics,517.0
France,FRA,2003,Mathematics,510.8
France,FRA,2006,Mathematics,495.54
France,FRA,2009,Mathematics,496.78
France,FRA,2012,Mathematics,494.98
France,FRA,2015,Mathematics,492.92
France,FRA,2018,Mathematics,495.41
France,FRA,2000,Reading,504.74
France,FRA,2003,Reading,496.19
France,FRA,2006,Reading,487.71
France,FRA,2009,Reading,495.62
France,FRA,2012,Reading,505.48
France,FRA,2015,Reading,499.31
France,FRA,2018,Reading,492.61
France,FRA,2000,Science,500.49
France,FRA,2003,Science,511.23
France,FRA,2006,Science,495.22
France,FRA,2009,Science,498.23
France,FRA,2012,Science,498.97
France,FRA,2015,Science,494.98
France,FRA,2018,Science,492.98
Georgia,GEO,2009,Mathematics,379.49
Georgia,GEO,2015,Mathematics,403.83
Georgia,GEO,2018,Mathematics,397.59
Georgia,GEO,2009,Reading,374.26
Georgia,GEO,2015,Reading,401.29
Georgia,GEO,2018,Reading,379.75
Georgia,GEO,2009,Science,372.65
Georgia,GEO,2015,Science,411.13
Georgia,GEO,2018,Science,382.66
Germany,DEU,2000,Mathematics,490.0
Germany,DEU,2003,Mathematics,502.99
Germany,DEU,2006,Mathematics,503.79
Germany,DEU,2009,Mathematics,512.78
Germany,DEU,2012,Mathematics,513.53
Germany,DEU,2015,Mathematics,505.97
Germany,DEU,2018,Mathematics,500.04
Germany,DEU,2000,Reading,483.99
Germany,DEU,2003,Reading,491.36
Germany,DEU,2006,Reading,494.94
Germany,DEU,2009,Reading,497.31
Germany,DEU,2012,Reading,507.68
Germany,DEU,2015,Reading,509.1
Germany,DEU,2018,Reading,498.28
Germany,DEU,2000,Science,487.11
Germany,DEU,2003,Science,502.34
Germany,DEU,2006,Science,515.65
Germany,DEU,2009,Science,520.41
Germany,DEU,2012,Science,524.12
Germany,DEU,2015,Science,509.14
Germany,DEU,2018,Science,502.99
Greece,GRC,2000,Mathematics,447.0
Greece,GRC,2003,Mathematics,444.91
Greece,GRC,2006,Mathematics,459.2
Greece,GRC,2009,Mathematics,466.1
Greece,GRC,2012,Mathematics,452.97
Greece,GRC,2015,Mathematics,453.63
Greece,GRC,2018,Mathematics,451.37
Greece,GRC,2000,Reading,473.8
Greece,GRC,2003,Reading,472.27
Greece,GRC,2006,Reading,459.71
Greece,GRC,2009,Reading,482.78
Greece,GRC,2012,Reading,477.2
Greece,GRC,2015,Reading,467.04
Greece,GRC,2018,Reading,457.41
Greece,GRC,2000,Science,460.55
Greece,GRC,2003,Science,481.02
Greece,GRC,2006,Science,473.38
Greece,GRC,2009,Science,470.12
Greece,GRC,2012,Science,466.72
Greece,GRC,2015,Science,454.83
Greece,GRC,2018,Science,451.63
"Hong Kong SAR, China",HKG,2000,Mathematics,560.0
"Hong Kong SAR, China",HKG,2003,Mathematics,550.38
"Hong Kong SAR, China",HKG,2006,Mathematics,547.46
"Hong Kong SAR, China",HKG,2009,Mathematics,554.53
"Hong Kong SAR, China",HKG,2012,Mathematics,561.24
"Hong Kong SAR, China",HKG,2015,Mathematics,547.93
"Hong Kong SAR, China",HKG,2018,Mathematics,551.15
"Hong Kong SAR, China",HKG,2000,Reading,525.46
"Hong Kong SAR, China",HKG,2003,Reading,509.54
"Hong Kong SAR, China",HKG,2006,Reading,536.07
"Hong Kong SAR, China",HKG,2009,Reading,533.15
"Hong Kong SAR, China",HKG,2012,Reading,544.6
"Hong Kong SAR, China",HKG,2015,Reading,526.68
"Hong Kong SAR, China",HKG,2018,Reading,524.28
"Hong Kong SAR, China",HKG,2000,Science,540.81
"Hong Kong SAR, China",HKG,2003,Science,539.5
"Hong Kong SAR, China",HKG,2006,Science,542.21
"Hong Kong SAR, China",HKG,2009,Science,549.03
"Hong Kong SAR, China",HKG,2012,Science,554.94
"Hong Kong SAR, China",HKG,2015,Science,523.28
"Hong Kong SAR, China",HKG,2018,Science,516.69
Hungary,HUN,2000,Mathematics,488.0
Hungary,HUN,2003,Mathematics,490.01
Hungary,HUN,2006,Mathematics,490.94
Hungary,HUN,2009,Mathematics,490.17
Hungary,HUN,2012,Mathematics,477.04
Hungary,HUN,2015,Mathematics,476.83
Hungary,HUN,2018,Mathematics,481.08
Hungary,HUN,2000,Reading,479.97
Hungary,HUN,2003,Reading,481.87
Hungary,HUN,2006,Reading,482.37
Hungary,HUN,2009,Reading,494.18
Hungary,HUN,2012,Reading,488.46
Hungary,HUN,2015,Reading,469.52
Hungary,HUN,2018,Reading,475.99
Hungary,HUN,2000,Science,496.08
Hungary,HUN,2003,Science,503.28
Hungary,HUN,2006,Science,503.93
Hungary,HUN,2009,Science,502.64
Hungary,HUN,2012,Science,494.3
Hungary,HUN,2015,Science,476.75
Hungary,HUN,2018,Science,480.91
Iceland,ISL,2000,Mathematics,514.0
Iceland,ISL,2003,Mathematics,515.11
Iceland,ISL,2006,Mathematics,505.54
Iceland,ISL,2009,Mathematics,506.67
Iceland,ISL,2012,Mathematics,492.8
Iceland,ISL,2015,Mathematics,488.03
Iceland,ISL,2018,Mathematics,495.19
Iceland,ISL,2000,Reading,506.93
Iceland,ISL,2003,Reading,491.75
Iceland,ISL,2006,Reading,484.45
Iceland,ISL,2009,Reading,500.28
Iceland,ISL,2012,Reading,482.52
Iceland,ISL,2015,Reading,481.53
Iceland,ISL,2018,Reading,473.97
Iceland,ISL,2000,Science,495.91
Iceland,ISL,2003,Science,494.75
Iceland,ISL,2006,Science,490.79
Iceland,ISL,2009,Science,495.6
Iceland,ISL,2012,Science,478.15
Iceland,ISL,2015,Science,473.23
Iceland,ISL,2018,Science,475.02
Indonesia,IDN,2000,Mathematics,367.0
Indonesia,IDN,2003,Mathematics,360.16
Indonesia,IDN,2006,Mathematics,391.01
Indonesia,IDN,2009,Mathematics,371.3
Indonesia,IDN,2012,Mathematics,375.11
Indonesia,IDN,2015,Mathematics,386.11
Indonesia,IDN,2018,Mathematics,378.67
Indonesia,IDN,2000,Reading,370.61
Indonesia,IDN,2003,Reading,381.59
Indonesia,IDN,2006,Reading,392.93
Indonesia,IDN,2009,Reading,401.71
Indonesia,IDN,2012,Reading,396.12
Indonesia,IDN,2015,Reading,397.26
Indonesia,IDN,2018,Reading,370.97
Indonesia,IDN,2000,Science,393.33
Indonesia,IDN,2003,Science,395.04
Indonesia,IDN,2006,Science,393.48
Indonesia,IDN,2009,Science,382.57
Indonesia,IDN,2012,Science,381.91
Indonesia,IDN,2015,Science,403.1
Indonesia,IDN,2018,Science,396.07
Ireland,IRL,2000,Mathematics,503.0
Ireland,IRL,2003,Mathematics,502.84
Ireland,IRL,2006,Mathematics,501.47
Ireland,IRL,2009,Mathematics,487.14
Ireland,IRL,2012,Mathematics,501.5
Ireland,IRL,2015,Mathematics,503.72
Ireland,IRL,2018,Mathematics,499.63
Ireland,IRL,2000,Reading,526.67
Ireland,IRL,2003,Reading,515.48
Ireland,IRL,2006,Reading,517.31
Ireland,IRL,2009,Reading,495.64
Ireland,IRL,2012,Reading,523.17
Ireland,IRL,2015,Reading,520.81
Ireland,IRL,2018,Reading,518.08
Ireland,IRL,2000,Science,513.37
Ireland,IRL,2003,Science,505.39
Ireland,IRL,2006,Science,508.33
Ireland,IRL,2009,Science,507.98
Ireland,IRL,2012,Science,522.0
Ireland,IRL,2015,Science,502.58
Ireland,IRL,2018,Science,496.11
Israel,ISR,2000,Mathematics,433.0
Israel,ISR,2006,Mathematics,441.86
Israel,ISR,2009,Mathematics,446.86
Israel,ISR,2012,Mathematics,466.48
Israel,ISR,2015,Mathematics,469.67
Israel,ISR,2018,Mathematics,463.03
Israel,ISR,2000,Reading,452.17
Israel,ISR,2006,Reading,438.67
Israel,ISR,2009,Reading,473.99
Israel,ISR,2012,Reading,485.8
Israel,ISR,2015,Reading,478.96
Israel,ISR,2018,Reading,470.42
Israel,ISR,2000,Science,434.14
Israel,ISR,2006,Science,453.9
Israel,ISR,2009,Science,454.85
Israel,ISR,2012,Science,470.07
Israel,ISR,2015,Science,466.55
Israel,ISR,2018,Science,462.2
Italy,ITA,2000,Mathematics,457.0
Italy,ITA,2003,Mathematics,465.66
Italy,ITA,2006,Mathematics,461.69
Italy,ITA,2009,Mathematics,482.91
Italy,ITA,2012,Mathematics,485.32
Italy,ITA,2015,Mathematics,489.73
Italy,ITA,2018,Mathematics,486.59
Italy,ITA,2000,Reading,487.47
Italy,ITA,2003,Reading,475.66
Italy,ITA,2006,Reading,468.52
Italy,ITA,2009,Reading,486.05
Italy,ITA,2012,Reading,489.75
Italy,ITA,2015,Reading,484.76
Italy,ITA,2018,Reading,476.28
Italy,ITA,2000,Science,477.6
Italy,ITA,2003,Science,486.45
Italy,ITA,2006,Science,475.4
Italy,ITA,2009,Science,488.83
Italy,ITA,2012,Science,493.54
Italy,ITA,2015,Science,480.55
Italy,ITA,2018,Science,468.01
Japan,JPN,2000,Mathematics,557.0
Japan,JPN,2003,Mathematics,534.14
Japan,JPN,2006,Mathematics,523.1
Japan,JPN,2009,Mathematics,528.99
Japan,JPN,2012,Mathematics,536.41
Japan,JPN,2015,Mathematics,532.44
Japan,JPN,2018,Mathematics,526.97
Japan,JPN,2000,Reading,522.23
Japan,JPN,2003,Reading,498.11
Japan,JPN,2006,Reading,497.96
Japan,JPN,2009,Reading,519.86
Japan,JPN,2012,Reading,538.05
Japan,JPN,2015,Reading,515.96
Japan,JPN,2018,Reading,503.86
Japan,JPN,2000,Science,550.4
Japan,JPN,2003,Science,547.64
Japan,JPN,2006,Science,531.39
Japan,JPN,2009,Science,539.43
Japan,JPN,2012,Science,546.74
Japan,JPN,2015,Science,538.39
Japan,JPN,2018,Science,529.14
Jordan,JOR,2006,Mathematics,384.04
Jordan,JOR,2009,Mathematics,386.66
Jordan,JOR,2012,Mathematics,385.6
Jordan,JOR,2015,Mathematics,380.26
Jordan,JOR,2018,Mathematics,399.76
Jordan,JOR,2006,Reading,400.58
Jordan,JOR,2009,Reading,405.01
Jordan,JOR,2012,Reading,399.03
Jordan,JOR,2015,Reading,408.1
Jordan,JOR,2018,Reading,419.06
Jordan,JOR,2006,Science,421.97
Jordan,JOR,2009,Science,415.39
Jordan,JOR,2012,Science,409.37
Jordan,JOR,2015,Science,408.67
Jordan,JOR,2018,Science,429.25
Kazakhstan,KAZ,2009,Mathematics,404.88
Kazakhstan,KAZ,2012,Mathematics,431.8
Kazakhstan,KAZ,2015,Mathematics,459.82
Kazakhstan,KAZ,2018,Mathematics,423.15
Kazakhstan,KAZ,2009,Reading,390.41
Kazakhstan,KAZ,2012,Reading,392.74
Kazakhstan,KAZ,2015,Reading,427.14
Kazakhstan,KAZ,2018,Reading,386.91
Kazakhstan,KAZ,2009,Science,400.38
Kazakhstan,KAZ,2012,Science,424.71
Kazakhstan,KAZ,2015,Science,456.48
Kazakhstan,KAZ,2018,Science,397.1
"Korea, Rep.",KOR,2000,Mathematics,547.0
"Korea, Rep.",KOR,2003,Mathematics,542.23
"Korea, Rep.",KOR,2006,Mathematics,547.46
"Korea, Rep.",KOR,2009,Mathematics,546.23
"Korea, Rep.",KOR,2012,Mathematics,553.77
"Korea, Rep.",KOR,2015,Mathematics,524.11
"Korea, Rep.",KOR,2018,Mathematics,525.93
"Korea, Rep.",KOR,2000,Reading,524.75
"Korea, Rep.",KOR,2003,Reading,534.09
"Korea, Rep.",KOR,2006,Reading,556.02
"Korea, Rep.",KOR,2009,Reading,539.27
"Korea, Rep.",KOR,2012,Reading,535.79
"Korea, Rep.",KOR,2015,Reading,517.44
"Korea, Rep.",KOR,2018,Reading,514.05
"Korea, Rep.",KOR,2000,Science,552.12
"Korea, Rep.",KOR,2003,Science,538.43
"Korea, Rep.",KOR,2006,Science,522.15
"Korea, Rep.",KOR,2009,Science,537.99
"Korea, Rep.",KOR,2012,Science,537.79
"Korea, Rep.",KOR,2015,Science,515.81
"Korea, Rep.",KOR,2018,Science,519.01
Kosovo,XKX,2015,Mathematics,361.53
Kosovo,XKX,2018,Mathematics,365.88
Kosovo,XKX,2015,Reading,347.13
Kosovo,XKX,2018,Reading,353.07
Kosovo,XKX,2015,Science,378.44
Kosovo,XKX,2018,Science,364.88
Kyrgyz Republic,KGZ,2006,Mathematics,310.58
Kyrgyz Republic,KGZ,2009,Mathematics,331.16
Kyrgyz Republic,KGZ,2006,Reading,284.71
Kyrgyz Republic,KGZ,2009,Reading,314.02
Kyrgyz Republic,KGZ,2006,Science,322.03
Kyrgyz Republic,KGZ,2009,Science,329.55
Latvia,LVA,2000,Mathematics,463.0
Latvia,LVA,2003,Mathematics,483.37
Latvia,LVA,2006,Mathematics,486.17
Latvia,LVA,2009,Mathematics,481.95
Latvia,LVA,2012,Mathematics,490.57
Latvia,LVA,2015,Mathematics,482.31
Latvia,LVA,2018,Mathematics,496.13
Latvia,LVA,2000,Reading,458.07
Latvia,LVA,2003,Reading,490.56
Latvia,LVA,2006,Reading,479.49
Latvia,LVA,2009,Reading,483.96
Latvia,LVA,2012,Reading,488.69
Latvia,LVA,2015,Reading,487.76
Latvia,LVA,2018,Reading,478.7
Latvia,LVA,2000,Science,460.06
Latvia,LVA,2003,Science,489.12
Latvia,LVA,2006,Science,489.54
Latvia,LVA,2009,Science,493.88
Latvia,LVA,2012,Science,502.19
Latvia,LVA,2015,Science,490.23
Latvia,LVA,2018,Science,487.25
Lebanon,LBN,2015,Mathematics,396.25
Lebanon,LBN,2018,Mathematics,393.45
Lebanon,LBN,2015,Reading,346.55
Lebanon,LBN,2018,Reading,353.36
Lebanon,LBN,2015,Science,386.49
Lebanon,LBN,2018,Science,383.72
OECD members,OED,2018,Mathematics,489.29
OECD members,OED,2018,Reading,487.13
OECD members,OED,2018,Science,488.66
